year,racenumber,gp,Toro Rosso,Force India,Ferrari,Marussia,Williams,McLaren,Caterham,Mercedes,Red Bull,Renault,Sauber,team,age,driver,Track Type,p1,p2,p3,avgprac,qual,grid,avgstart,pteam,teampts,pdriver,driverpts,pit stops,dnf,points,podium,finish
2014,14,singapore,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,24,bianchi,0,19,19,19,19,19.00,19.00,19.00,0.0078125,0,0.0078125,0,3,0,0,0,16.0
2014,15,japan,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,24,bianchi,1,21,20,21,20.66666667,20.00,18.00,19.00,0.00390625,0,0.00390625,0,3,0,0,0,20.0
2014,1,australia,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,3,8,20,10.33333333,10.00,15.00,12.50,9,10,8,10,2,0,1,0,5.0
2014,2,malaysia,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,10,9,9,9.333333333,15.00,18.00,16.50,9.5,10,9,4,3,0,1,0,8.0
2014,3,bahrain,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,13,11,4,9.333333333,4.00,3.00,3.50,9.75,10,6.5,4,3,0,1,0,8.0
2014,4,china,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,13,14,8,11.66666667,7.00,7.00,7.00,9.875,6,5.25,6,2,0,1,0,7.0
2014,5,spain,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,14,14,11,13,4.00,4.00,4.00,7.9375,10,5.625,10,2,0,1,0,5.0
2014,6,monaco,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,0,7,5,13,8.333333333,13.00,13.00,13.00,8.96875,6,7.8125,0,4,1,0,0,22.0
2014,7,canada,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,0,5,7,7,6.333333333,4.00,4.00,4.00,7.484375,6,3.90625,6,2,0,1,0,7.0
2014,8,austria,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,8,4,1,4.333333333,2.00,2.00,2.00,6.7421875,27,4.953125,15,2,0,1,1,3.0
2014,9,greatbritan,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,21,6,9,12,16.00,14.00,15.00,16.87109375,18,9.9765625,18,1,0,1,1,2.0
2014,10,germany,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,15,10,5,10,2.00,2.00,2.00,17.43554688,18,13.98828125,18,2,0,1,1,2.0
2014,11,hungary,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,15,8,5,9.333333333,3.00,3.00,3.00,17.71777344,16,15.99414063,6,3,0,1,0,8.0
2014,12,belgium,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,10,6,1,5.666666667,6.00,6.00,6.00,16.85888672,15,10.99707031,15,2,0,1,1,3.0
2014,13,italy,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,12,5,3,6.666666667,3.00,3.00,3.00,15.92944336,27,12.99853516,15,1,0,1,1,3.0
2014,14,singapore,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,0,15,18,8,13.66666667,8.00,8.00,8.00,21.46472168,10,13.99926758,0,2,0,0,0,11.0
2014,15,japan,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,4,3,5,4,3.00,3.00,3.00,15.73236084,14,6.999633789,8,3,0,1,0,6.0
2014,16,russia,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,0,10,5,3,6,3.00,3.00,3.00,14.86618042,15,7.499816895,15,1,0,1,1,3.0
2014,17,unitedstates,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,8,11,4,7.666666667,3.00,3.00,3.00,14.93309021,22,11.24990845,10,2,0,1,0,5.0
2014,18,brazil,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,1,12,5,4,7,4.00,4.00,4.00,18.4665451,16,10.62495422,1,3,0,1,0,10.0
2014,19,abudhabi,0,0,0,0,1,0,0,0,0,0,0,Williams Mercedes,24,bottas,0,8,5,8,7,3.00,3.00,3.00,17.23327255,33,5.812477112,15,2,0,1,1,3.0
2014,1,australia,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,2,5,2,3,11.00,10.00,10.50,12,33,6,15,2,0,1,1,3.0
2014,2,malaysia,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,4,8,21,11,10.00,10.00,10.00,22.5,10,10.5,8,3,0,1,0,6.0
2014,3,bahrain,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,5,6,6,5.666666667,7.00,6.00,6.50,16.25,0,9.25,0,2,0,0,0,17.0
2014,4,china,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,4,8,9,7,12.00,12.00,12.00,8.125,0,4.625,0,2,0,0,0,11.0
2014,5,spain,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,2,7,8,5.666666667,8.00,8.00,8.00,4.0625,0,2.3125,0,2,0,0,0,11.0
2014,6,monaco,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,0,11,8,12,10.33333333,12.00,12.00,12.00,2.03125,9,1.15625,8,1,0,1,0,6.0
2014,7,canada,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,0,7,9,16,10.66666667,9.00,9.00,9.00,5.515625,14,4.578125,12,2,0,1,0,4.0
2014,8,austria,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,5,7,22,11.33333333,12.00,11.00,11.50,9.7578125,6,8.2890625,0,2,0,0,0,11.0
2014,9,greatbritan,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,7,7,8,7.333333333,3.00,3.00,3.00,7.87890625,18,4.14453125,12,1,0,1,0,4.0
2014,10,germany,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,20,5,13,12.66666667,11.00,11.00,11.00,12.93945313,6,8.072265625,4,3,0,1,0,8.0
2014,11,hungary,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,9,9,12,10,7.00,7.00,7.00,9.469726563,1,6.036132813,1,3,0,1,0,10.0
2014,12,belgium,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,4,5,8,5.666666667,10.00,10.00,10.00,5.234863281,8,3.518066406,8,2,0,1,0,6.0
2014,13,italy,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,2,6,5,4.333333333,6.00,6.00,6.00,6.617431641,5,5.759033203,4,1,0,1,0,8.0
2014,14,singapore,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,0,8,7,13,9.333333333,11.00,11.00,11.00,5.80871582,1,4.879516602,0,5,1,0,0,19.0
2014,15,japan,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,8,4,10,7.333333333,8.00,8.00,8.00,3.40435791,10,2.439758301,10,3,0,1,0,5.0
2014,16,russia,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,0,5,6,11,7.333333333,4.00,4.00,4.00,6.702178955,22,6.21987915,12,1,0,1,0,4.0
2014,17,unitedstates,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,3,9,10,7.333333333,7.00,12.00,9.50,14.35108948,4,9.109939575,0,2,0,0,0,12.0
2014,18,brazil,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,1,17,16,6,13,5.00,5.00,5.00,9.175544739,14,4.554969788,12,3,0,1,0,4.0
2014,19,abudhabi,0,0,0,0,0,1,0,0,0,0,0,McLaren Mercedes,34,button,0,17,8,6,10.33333333,6.00,6.00,6.00,11.58777237,10,8.277484894,10,2,0,1,0,5.0
2014,1,australia,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,17,19,17,17.66666667,17.00,17.00,17.00,0,0,0,0,2,0,0,0,13.0
2014,2,malaysia,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,18,18,17,17.66666667,21.00,21.00,21.00,0,0,0,0,3,0,0,0,15.0
2014,3,bahrain,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,20,20,22,20.66666667,22.00,21.00,21.50,0,0,0,0,3,0,0,0,13.0
2014,4,china,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,20,20,14,18,21.00,21.00,21.00,0,0,0,0,3,0,0,0,19.0
2014,5,spain,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,19,19,19,19,18.00,17.00,17.50,0,0,0,0,2,0,0,0,18.0
2014,6,monaco,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,0,22,19,21,20.66666667,20.00,19.00,19.50,0,2,0,0,3,0,0,0,14.0
2014,7,canada,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,0,20,18,19,19,18.00,18.00,18.00,0,0,0,0,4,1,0,0,19.0
2014,8,austria,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,19,18,21,19.33333333,21.00,21.00,21.00,0,0,0,0,1,0,0,0,17.0
2014,9,greatbritan,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,18,21,19,19.33333333,13.00,17.00,15.00,0,0,0,0,3,0,0,0,16.0
2014,10,germany,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,18,21,22,20.33333333,21.00,21.00,21.00,0,0,0,0,3,0,0,0,17.0
2014,11,hungary,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,21,21,20,20.66666667,19.00,18.00,18.50,0,0,0,0,2,0,0,0,16.0
2014,12,belgium,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,20,18,20,19.33333333,19.00,19.00,19.00,0,0,0,0,2,0,0,0,16.0
2014,13,italy,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,18,19,20,19,21.00,20.00,20.50,0,0,0,0,4,1,0,0,22.0
2014,14,singapore,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,0,22,20,21,21,21.00,21.00,21.00,0,0,0,0,3,0,0,0,17.0
2014,15,japan,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,1,22,21,20,21,22.00,21.00,21.50,0,0,0,0,3,0,0,0,18.0
2014,16,russia,0,0,0,1,0,0,0,0,0,0,0,Marussia Ferrari,23,chilton,0,21,20,20,20.33333333,21.00,20.00,20.50,0,0,0,0,3,1,0,0,21.0
2014,1,australia,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,18,20,19,19,20.00,19.00,19.50,0,0,0,0,4,1,0,0,15.0
2014,2,malaysia,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,17,20,19,18.66666667,22.00,22.00,22.00,0,0,0,0,3,0,0,0,14.0
2014,3,bahrain,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,22,22,19,21,21.00,20.00,20.50,0,0,0,0,6,1,0,0,22.0
2014,4,china,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,21,22,18,20.33333333,20.00,20.00,20.00,0,0,0,0,3,0,0,0,20.0
2014,5,spain,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,22,22,22,22,20.00,19.00,19.50,0,0,0,0,2,0,0,0,20.0
2014,6,monaco,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,0,20,21,22,21,22.00,22.00,22.00,0,0,0,0,2,0,0,0,11.0
2014,7,canada,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,0,21,21,20,20.66666667,21.00,20.00,20.50,0,0,0,0,4,1,0,0,21.0
2014,8,austria,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,22,22,20,21.33333333,22.00,20.00,21.00,0,0,0,0,2,0,0,0,18.0
2014,9,greatbritan,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,19,22,16,19,22.00,21.00,21.50,0,0,0,0,4,1,0,0,22.0
2014,10,germany,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,19,20,21,20,22.00,22.00,22.00,0,0,0,0,3,0,0,0,18.0
2014,11,hungary,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,20,22,21,21,20.00,19.00,19.50,0,0,0,0,4,1,0,0,21.0
2014,12,belgium,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,22,19,21,20.66666667,22.00,22.00,22.00,0,0,0,0,2,0,0,0,17.0
2014,13,italy,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,22,22,21,21.66666667,22.00,22.00,22.00,0,0,0,0,1,0,0,0,19.0
2014,14,singapore,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,0,20,22,22,21.33333333,22.00,22.00,22.00,0,0,0,0,2,0,0,0,15.0
2014,15,japan,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,1,19,19,19,19,19.00,17.00,18.00,0,0,0,0,4,0,0,0,17.0
2014,16,russia,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,0,20,19,18,19,17.00,16.00,16.50,0,0,0,0,2,0,0,0,19.0
